symbol;name;sector
CAT;CATERPILLAR INC;Industrials
HSBA;HSBC HOLDINGS PLC;Financials
INTU;INTUIT INC;Information Technology
VZ;VERIZON COMMUNICATIONS INC;Communication
AMGN;AMGEN INC;Health Care
PFE;PFIZER INC;Health Care
TTE;TOTALENERGIES;Energy
PM;PHILIP MORRIS INTERNATIONAL INC;Consumer Staples
IBM;INTERNATIONAL BUSINESS MACHINES CO;Information Technology
NEE;NEXTERA ENERGY INC;Utilities
CMCSA;COMCAST CORP CLASS A;Communication
GS;GOLDMAN SACHS GROUP INC;Financials
RTX;RTX CORP;Industrials
BHP;BHP GROUP LTD;Materials
NOW;SERVICENOW INC;Information Technology
RY;ROYAL BANK OF CANADA;Financials
SIE;SIEMENS N AG;Industrials
SPGI;S&P GLOBAL INC;Financials
ISRG;INTUITIVE SURGICAL INC;Health Care
MU;MICRON TECHNOLOGY INC;Information Technology
UNP;UNION PACIFIC CORP;Industrials
USD;USD CASH;Cash and/or Derivatives
SU;SCHNEIDER ELECTRIC;Industrials
AXP;AMERICAN EXPRESS;Financials
COP;CONOCOPHILLIPS;Energy
ETN;EATON PLC;Industrials
ULVR;UNILEVER PLC;Consumer Staples
BKNG;BOOKING HOLDINGS INC;Consumer Discretionary
CBA;COMMONWEALTH BANK OF AUSTRALIA;Financials
ICSUAGD;BLK ICS USD LIQ AGENCY DIS;Cash and/or Derivatives
HON;HONEYWELL INTERNATIONAL INC;Industrials
INTC;INTEL CORPORATION CORP;Information Technology
LRCX;LAM RESEARCH CORP;Information Technology
T;AT&T INC;Communication
LOW;LOWES COMPANIES INC;Consumer Discretionary
MS;MORGAN STANLEY;Financials
ELV;ELEVANCE HEALTH INC;Health Care
C;CITIGROUP INC;Financials
PGR;PROGRESSIVE CORP;Financials
UBER;UBER TECHNOLOGIES INC;Industrials
VRTX;VERTEX PHARMACEUTICALS INC;Health Care
OR;LOREAL SA;Consumer Staples
ADI;ANALOG DEVICES INC;Information Technology
ALV;ALLIANZ;Financials
BLK;BLACKROCK INC;Financials
8306;MITSUBISHI UFJ FINANCIAL GROUP INC;Financials
TJX;TJX INC;Consumer Discretionary
SYK;STRYKER CORP;Health Care
SAN;SANOFI SA;Health Care
NKE;NIKE INC CLASS B;Consumer Discretionary
SCHW;CHARLES SCHWAB CORP;Financials
BSX;BOSTON SCIENTIFIC CORP;Health Care
CB;CHUBB LTD;Financials
MDT;MEDTRONIC PLC;Health Care
KLAC;KLA CORP;Information Technology
8035;TOKYO ELECTRON LTD;Information Technology
AI;LAIR LIQUIDE SOCIETE ANONYME POUR;Materials
LMT;LOCKHEED MARTIN CORP;Industrials
REGN;REGENERON PHARMACEUTICALS INC;Health Care
ADP;AUTOMATIC DATA PROCESSING INC;Industrials
TD;TORONTO DOMINION;Financials
AIR;AIRBUS GROUP;Industrials
PANW;PALO ALTO NETWORKS INC;Information Technology
6758;SONY GROUP CORP;Consumer Discretionary
UBSG;UBS GROUP AG;Financials
BA;BOEING;Industrials
BP.;BP PLC;Energy
MMC;MARSH & MCLENNAN INC;Financials
UPS;UNITED PARCEL SERVICE INC CLASS B;Industrials
DE;DEERE;Industrials
CI;CIGNA;Health Care
PLD;PROLOGIS REIT INC;Real Estate
GSK;GLAXOSMITHKLINE;Health Care
6501;HITACHI LTD;Industrials
MDLZ;MONDELEZ INTERNATIONAL INC CLASS A;Consumer Staples
FI;FISERV INC;Financials
CSL;CSL LTD;Health Care
1299;AIA GROUP LTD;Financials
SNPS;SYNOPSYS INC;Information Technology
TMUS;T MOBILE US INC;Communication
SBUX;STARBUCKS CORP;Consumer Discretionary
BX;BLACKSTONE INC;Financials
6861;KEYENCE CORP;Information Technology
CMG;CHIPOTLE MEXICAN GRILL INC;Consumer Discretionary
ABBN;ABB LTD;Industrials
BMY;BRISTOL MYERS SQUIBB;Health Care
REL;RELX PLC;Industrials
AMT;AMERICAN TOWER REIT CORP;Real Estate
SAN;BANCO SANTANDER SA;Financials
SO;SOUTHERN;Utilities
WM;WASTE MANAGEMENT INC;Industrials
CFR;COMPAGNIE FINANCIERE RICHEMONT SA;Consumer Discretionary
CNQ;CANADIAN NATURAL RESOURCES LTD;Energy
GILD;GILEAD SCIENCES INC;Health Care
IBE;IBERDROLA SA;Utilities
APH;AMPHENOL CORP CLASS A;Information Technology
ANET;ARISTA NETWORKS INC;Information Technology
CDNS;CADENCE DESIGN SYSTEMS INC;Information Technology
SAF;SAFRAN SA;Industrials
8316;SUMITOMO MITSUI FINANCIAL GROUP IN;Financials
CRWD;CROWDSTRIKE HOLDINGS INC CLASS A;Information Technology
MO;ALTRIA GROUP INC;Consumer Staples
RIO;RIO TINTO PLC;Materials
ZTS;ZOETIS INC CLASS A;Health Care
DUK;DUKE ENERGY CORP;Utilities
DGE;DIAGEO PLC;Consumer Staples
ICE;INTERCONTINENTAL EXCHANGE INC;Financials
TT;TRANE TECHNOLOGIES PLC;Industrials
BNP;BNP PARIBAS SA;Financials
CME;CME GROUP INC CLASS A;Financials
ENB;ENBRIDGE INC;Energy
MELI;MERCADOLIBRE INC;Consumer Discretionary
RMS;HERMES INTERNATIONAL;Consumer Discretionary
CEG;CONSTELLATION ENERGY CORP;Utilities
DTE;DEUTSCHE TELEKOM N AG;Communication
ZURN;ZURICH INSURANCE GROUP AG;Financials
8058;MITSUBISHI CORP;Industrials
MCK;MCKESSON CORP;Health Care
SHW;SHERWIN WILLIAMS;Materials
ITW;ILLINOIS TOOL INC;Industrials
CP;CANADIAN PACIFIC KANSAS CITY LTD;Industrials
FCX;FREEPORT MCMORAN INC;Materials
TDG;TRANSDIGM GROUP INC;Industrials
EOG;EOG RESOURCES INC;Energy
NAB;NATIONAL AUSTRALIA BANK LTD;Financials
CNR;CANADIAN NATIONAL RAILWAY;Industrials
4063;SHIN ETSU CHEMICAL LTD;Materials
CL;COLGATE-PALMOLIVE;Consumer Staples
EQIX;EQUINIX REIT INC;Real Estate
6098;RECRUIT HOLDINGS LTD;Industrials
MPC;MARATHON PETROLEUM CORP;Energy
CVS;CVS HEALTH CORP;Health Care
NXPI;NXP SEMICONDUCTORS NV;Information Technology
SHOP;SHOPIFY SUBORDINATE VOTING INC CLA;Information Technology
GD;GENERAL DYNAMICS CORP;Industrials
MUV2;MUENCHENER RUECKVERSICHERUNGS-GESE;Financials
8031;MITSUI LTD;Industrials
CSX;CSX CORP;Industrials
TGT;TARGET CORP;Consumer Staples
CS;AXA SA;Financials
NOC;NORTHROP GRUMMAN CORP;Industrials
PH;PARKER-HANNIFIN CORP;Industrials
BMO;BANK OF MONTREAL;Financials
MRVL;MARVELL TECHNOLOGY INC;Information Technology
EL;ESSILORLUXOTTICA SA;Health Care
HCA;HCA HEALTHCARE INC;Health Care
BDX;BECTON DICKINSON;Health Care
DG;VINCI SA;Industrials
MCO;MOODYS CORP;Financials
4568;DAIICHI SANKYO LTD;Health Care
PYPL;PAYPAL HOLDINGS INC;Financials
EMR;EMERSON ELECTRIC;Industrials
SLB;SCHLUMBERGER NV;Energy
GLEN;GLENCORE PLC;Materials
USB;US BANCORP;Financials
BBVA;BANCO BILBAO VIZCAYA ARGENTARIA SA;Financials
BN;BROOKFIELD CORP CLASS A;Financials
PNC;PNC FINANCIAL SERVICES GROUP INC;Financials
PSX;PHILLIPS;Energy
KKR;KKR AND CO INC;Financials
UCG;UNICREDIT;Financials
CTAS;CINTAS CORP;Industrials
BATS;BRITISH AMERICAN TOBACCO;Consumer Staples
INGA;ING GROEP NV;Financials
WBC;WESTPAC BANKING CORPORATION CORP;Financials
ABNB;AIRBNB INC CLASS A;Consumer Discretionary
8766;TOKIO MARINE HOLDINGS INC;Financials
ECL;ECOLAB INC;Materials
ENEL;ENEL;Utilities
GM;GENERAL MOTORS;Consumer Discretionary
MAR;MARRIOTT INTERNATIONAL INC CLASS A;Consumer Discretionary
FDX;FEDEX CORP;Industrials
ORLY;OREILLY AUTOMOTIVE INC;Consumer Discretionary
MSI;MOTOROLA SOLUTIONS INC;Information Technology
APD;AIR PRODUCTS AND CHEMICALS INC;Materials
VLO;VALERO ENERGY CORP;Energy
PCAR;PACCAR INC;Industrials
AIG;AMERICAN INTERNATIONAL GROUP INC;Financials
CRH;CRH PUBLIC LIMITED PLC;Materials
AON;AON PLC CLASS A;Financials
ROP;ROPER TECHNOLOGIES INC;Information Technology
PRX;PROSUS NV;Consumer Discretionary
ABI;ANHEUSER-BUSCH INBEV SA;Consumer Staples
MBG;MERCEDES-BENZ GROUP N AG;Consumer Discretionary
BNS;BANK OF NOVA SCOTIA;Financials
7974;NINTENDO LTD;Communication
WELL;WELLTOWER INC;Real Estate
ISP;INTESA SANPAOLO;Financials
IFX;INFINEON TECHNOLOGIES AG;Information Technology
SU;SUNCOR ENERGY INC;Energy
9984;SOFTBANK GROUP CORP;Communication
ANZ;ANZ GROUP HOLDINGS LTD;Financials
RACE;FERRARI NV;Consumer Discretionary
HLT;HILTON WORLDWIDE HOLDINGS INC;Consumer Discretionary
MRNA;MODERNA INC;Health Care
8001;ITOCHU CORP;Industrials
AJG;ARTHUR J GALLAGHER;Financials
MMM;3M;Industrials
ITX;INDUSTRIA DE DISENO TEXTIL INDITEX;Consumer Discretionary
CARR;CARRIER GLOBAL CORP;Industrials
BA.;BAE SYSTEMS PLC;Industrials
CSU;CONSTELLATION SOFTWARE INC;Information Technology
D05;DBS GROUP HOLDINGS LTD;Financials
MCHP;MICROCHIP TECHNOLOGY INC;Information Technology
JCI;JOHNSON CONTROLS INTERNATIONAL PLC;Industrials
NSC;NORFOLK SOUTHERN CORP;Industrials
AFL;AFLAC INC;Financials
EW;EDWARDS LIFESCIENCES CORP;Health Care
COF;CAPITAL ONE FINANCIAL CORP;Financials
7267;HONDA MOTOR LTD;Consumer Discretionary
LSEG;LONDON STOCK EXCHANGE GROUP PLC;Financials
ATCO A;ATLAS COPCO CLASS A;Industrials
DXCM;DEXCOM INC;Health Care
WES;WESFARMERS LTD;Consumer Discretionary
TFC;TRUIST FINANCIAL CORP;Financials
STLAM;STELLANTIS NV;Consumer Discretionary
WMB;WILLIAMS INC;Energy
F;FORD MOTOR CO;Consumer Discretionary
AZO;AUTOZONE INC;Consumer Discretionary
MFC;MANULIFE FINANCIAL CORP;Financials
TRV;TRAVELERS COMPANIES INC;Financials
GEV;GE VERNOVA INC;Industrials
CPG;COMPASS GROUP PLC;Consumer Discretionary
TEL;TE CONNECTIVITY LTD;Information Technology
ROST;ROSS STORES INC;Consumer Discretionary
8411;MIZUHO FINANCIAL GROUP INC;Financials
RR.;ROLLS-ROYCE HOLDINGS PLC;Industrials
INVE B;INVESTOR CLASS B;Financials
ALC;ALCON AG;Health Care
AMP;AMERIPRISE FINANCE INC;Financials
NEM;NEWMONT;Materials
BK;BANK OF NEW YORK MELLON CORP;Financials
ADSK;AUTODESK INC;Information Technology
SPG;SIMON PROPERTY GROUP REIT INC;Real Estate
CPRT;COPART INC;Industrials
FIS;FIDELITY NATIONAL INFORMATION SERV;Financials
WDAY;WORKDAY INC CLASS A;Information Technology
OKE;ONEOK INC;Energy
BAS;BASF N;Materials
MQG;MACQUARIE GROUP LTD DEF;Financials
LLOY;LLOYDS BANKING GROUP PLC;Financials
MET;METLIFE INC;Financials
SRE;SEMPRA;Utilities
AEP;AMERICAN ELECTRIC POWER INC;Utilities
SIKA;SIKA AG;Materials
CM;CANADIAN IMPERIAL BANK OF COMMERCE;Financials
A;AGILENT TECHNOLOGIES INC;Health Care
BARC;BARCLAYS PLC;Financials
HOLN;HOLCIM LTD AG;Materials
ATD;ALIMENTATION COUCHE TARD INC;Consumer Staples
APO;APOLLO GLOBAL MANAGEMENT INC;Financials
URI;UNITED RENTALS INC;Industrials
D;DOMINION ENERGY INC;Utilities
SMCI;SUPER MICRO COMPUTER INC;Information Technology
GIVN;GIVAUDAN SA;Materials
NUE;NUCOR CORP;Materials
ALL;ALLSTATE CORP;Financials
CCI;CROWN CASTLE INC;Real Estate
KMB;KIMBERLY CLARK CORP;Consumer Staples
DHI;D R HORTON INC;Consumer Discretionary
DLR;DIGITAL REALTY TRUST REIT INC;Real Estate
FERG;FERGUSON PLC;Industrials
IDXX;IDEXX LABORATORIES INC;Health Care
WCN;WASTE CONNECTIONS INC;Industrials
SNOW;SNOWFLAKE INC CLASS A;Information Technology
9983;FAST RETAILING LTD;Consumer Discretionary
LONN;LONZA GROUP AG;Health Care
EXPN;EXPERIAN PLC;Industrials
O;REALTY INCOME REIT CORP;Real Estate
7741;HOYA CORP;Health Care
PSA;PUBLIC STORAGE REIT;Real Estate
WKL;WOLTERS KLUWER NV;Industrials
6367;DAIKIN INDUSTRIES LTD;Industrials
IQV;IQVIA HOLDINGS INC;Health Care
HUM;HUMANA INC;Health Care
GWW;WW GRAINGER INC;Industrials
PRU;PRUDENTIAL FINANCIAL INC;Financials
MNST;MONSTER BEVERAGE CORP;Consumer Staples
DOW;DOW INC;Materials
CMI;CUMMINS INC;Industrials
9433;KDDI CORP;Communication
LHX;L3HARRIS TECHNOLOGIES INC;Industrials
NG.;NATIONAL GRID PLC;Utilities
FTNT;FORTINET INC;Information Technology
RSG;REPUBLIC SERVICES INC;Industrials
OXY;OCCIDENTAL PETROLEUM CORP;Energy
AAL;ANGLO AMERICAN PLC;Materials
388;HONG KONG EXCHANGES AND CLEARING L;Financials
VOLV B;VOLVO CLASS B;Industrials
COIN;COINBASE GLOBAL INC CLASS A;Financials
JPY;JPY CASH;Cash and/or Derivatives
CTVA;CORTEVA INC;Materials
SGO;COMPAGNIE DE SAINT GOBAIN SA;Industrials
4502;TAKEDA PHARMACEUTICAL LTD;Health Care
TTD;TRADE DESK INC CLASS A;Communication
DHL;DEUTSCHE POST AG;Industrials
BN;DANONE SA;Consumer Staples
LEN;LENNAR A CORP;Consumer Discretionary
PLTR;PALANTIR TECHNOLOGIES INC CLASS A;Information Technology
HES;HESS CORP;Energy
EUR;EUR CASH;Cash and/or Derivatives
CNC;CENTENE CORP;Health Care
OTIS;OTIS WORLDWIDE CORP;Industrials
GIS;GENERAL MILLS INC;Consumer Staples
MSCI;MSCI INC;Financials
DB1;DEUTSCHE BOERSE AG;Financials
PWR;QUANTA SERVICES INC;Industrials
STZ;CONSTELLATION BRANDS INC CLASS A;Consumer Staples
PAYX;PAYCHEX INC;Industrials
YUM;YUM BRANDS INC;Consumer Discretionary
KMI;KINDER MORGAN INC;Energy
TRP;TC ENERGY CORP;Energy
ADS;ADIDAS N AG;Consumer Discretionary
GMG;GOODMAN GROUP UNITS;Real Estate
AME;AMETEK INC;Industrials
DELL;DELL TECHNOLOGIES INC CLASS C;Information Technology
ACGL;ARCH CAPITAL GROUP LTD;Financials
PEG;PUBLIC SERVICE ENTERPRISE GROUP IN;Utilities
IR;INGERSOLL RAND INC;Industrials
SYY;SYSCO CORP;Consumer Staples
RKT;RECKITT BENCKISER GROUP PLC;Consumer Staples
NDA FI;NORDEA BANK;Financials
SREN;SWISS RE AG;Financials
RCL;ROYAL CARIBBEAN GROUP LTD;Consumer Discretionary
KVUE;KENVUE INC;Consumer Staples
CAP;CAPGEMINI;Information Technology
SQ;BLOCK INC CLASS A;Financials
PCG;PG&E CORP;Utilities
MLM;MARTIN MARIETTA MATERIALS INC;Materials
VRSK;VERISK ANALYTICS INC;Industrials
COR;CENCORA INC;Health Care
O39;OVERSEA-CHINESE BANKING LTD;Financials
EXC;EXELON CORP;Utilities
DD;DUPONT DE NEMOURS INC;Materials
III;3I GROUP PLC;Financials
EA;ELECTRONIC ARTS INC;Communication
CTSH;COGNIZANT TECHNOLOGY SOLUTIONS COR;Information Technology
FAST;FASTENAL;Industrials
VRT;VERTIV HOLDINGS CLASS A;Industrials
IT;GARTNER INC;Information Technology
MPWR;MONOLITHIC POWER SYSTEMS INC;Information Technology
FLTR;FLUTTER ENTERTAINMENT PLC;Consumer Discretionary
LNG;CHENIERE ENERGY INC;Energy
DBK;DEUTSCHE BANK AG;Financials
6146;DISCO CORP;Information Technology
KDP;KEURIG DR PEPPER INC;Consumer Staples
WDS;WOODSIDE ENERGY GROUP LTD;Energy
HWM;HOWMET AEROSPACE INC;Industrials
LULU;LULULEMON ATHLETICA INC;Consumer Discretionary
CSGP;COSTAR GROUP INC;Real Estate
ENI;ENI;Energy
6503;MITSUBISHI ELECTRIC CORP;Industrials
ED;CONSOLIDATED EDISON INC;Utilities
9434;SOFTBANK CORP;Communication
AEM;AGNICO EAGLE MINES LTD;Materials
VST;VISTRA CORP;Utilities
FICO;FAIR ISAAC CORP;Information Technology
KR;KROGER;Consumer Staples
DDOG;DATADOG INC CLASS A;Information Technology
XYL;XYLEM INC;Industrials
ODFL;OLD DOMINION FREIGHT LINE INC;Industrials
VMC;VULCAN MATERIALS;Materials
FANG;DIAMONDBACK ENERGY INC;Energy
2914;JAPAN TOBACCO INC;Consumer Staples
BKR;BAKER HUGHES CLASS A;Energy
DG;DOLLAR GENERAL CORP;Consumer Staples
GEHC;GE HEALTHCARE TECHNOLOGIES INC;Health Care
RIO;RIO TINTO LTD;Materials
ADM;ARCHER DANIELS MIDLAND;Consumer Staples
RMD;RESMED INC;Health Care
ENGI;ENGIE SA;Utilities
4661;ORIENTAL LAND LTD;Consumer Discretionary
6902;DENSO CORP;Consumer Discretionary
BMW;BMW AG;Consumer Discretionary
HIG;HARTFORD FINANCIAL SERVICES GROUP;Financials
AD;KONINKLIJKE AHOLD DELHAIZE NV;Consumer Staples
PGHN;PARTNERS GROUP HOLDING AG;Financials
6981;MURATA MANUFACTURING LTD;Information Technology
FMG;FORTESCUE LTD;Materials
DFS;DISCOVER FINANCIAL SERVICES;Financials
RI;PERNOD RICARD SA;Consumer Staples
TSCO;TESCO PLC;Consumer Staples
KHC;KRAFT HEINZ;Consumer Staples
AHT;ASHTEAD GROUP PLC;Industrials
PPG;PPG INDUSTRIES INC;Materials
ROK;ROCKWELL AUTOMATION INC;Industrials
BIIB;BIOGEN INC;Health Care
TRI;THOMSON REUTERS CORP;Industrials
ON;ON SEMICONDUCTOR CORP;Information Technology
CDW;CDW CORP;Information Technology
HAL;HALLIBURTON;Energy
DVN;DEVON ENERGY CORP;Energy
LR;LEGRAND SA;Industrials
WAB;WESTINGHOUSE AIR BRAKE TECHNOLOGIE;Industrials
AMS;AMADEUS IT GROUP SA;Consumer Discretionary
MTD;METTLER TOLEDO INC;Health Care
8725;MS&AD INSURANCE GROUP HOLDINGS INC;Financials
VWS;VESTAS WIND SYSTEMS;Industrials
XEL;XCEL ENERGY INC;Utilities
NTR;NUTRIEN LTD;Materials
CVE;CENOVUS ENERGY INC;Energy
ABX;BARRICK GOLD CORP;Materials
3382;SEVEN & I HOLDINGS LTD;Consumer Staples
EFX;EQUIFAX INC;Industrials
9432;NIPPON TELEGRAPH AND TELEPHONE COR;Communication
ANSS;ANSYS INC;Information Technology
EXR;EXTRA SPACE STORAGE REIT INC;Real Estate
ASM;ASM INTERNATIONAL NV;Information Technology
ASSA B;ASSA ABLOY B;Industrials
VEEV;VEEVA SYSTEMS INC CLASS A;Health Care
BAYN;BAYER AG;Health Care
6723;RENESAS ELECTRONICS CORP;Information Technology
HEIA;HEINEKEN NV;Consumer Staples
7011;MITSUBISHI HEAVY INDUSTRIES LTD;Industrials
TSCO;TRACTOR SUPPLY;Consumer Discretionary
EIX;EDISON INTERNATIONAL;Utilities
EOAN;E.ON N;Utilities
SLF;SUN LIFE FINANCIAL INC;Financials
6273;SMC (JAPAN) CORP;Industrials
UOB;UNITED OVERSEAS BANK LTD;Financials
VICI;VICI PPTYS INC;Real Estate
DASH;DOORDASH INC CLASS A;Consumer Discretionary
HPQ;HP INC;Information Technology
EBAY;EBAY INC;Consumer Discretionary
HLN;HALEON PLC;Consumer Staples
6857;ADVANTEST CORP;Information Technology
GLW;CORNING INC;Information Technology
DSV;DSV;Industrials
IFC;INTACT FINANCIAL CORP;Financials
PUB;PUBLICIS GROUPE SA;Communication
EL;ESTEE LAUDER INC CLASS A;Consumer Staples
SE;SEA ADS REPRESENTING LTD CLASS A;Communication
FTV;FORTIVE CORP;Industrials
STMPA;STMICROELECTRONICS NV;Information Technology
HSY;HERSHEY FOODS;Consumer Staples
DOV;DOVER CORP;Industrials
7751;CANON INC;Information Technology
ADYEN;ADYEN NV;Financials
8002;MARUBENI CORP;Industrials
TCL;TRANSURBAN GROUP STAPLED UNITS;Industrials
ATCO B;ATLAS COPCO CLASS B;Industrials
CBRE;CBRE GROUP INC CLASS A;Real Estate
NA;NATIONAL BANK OF CANADA;Financials
HUBS;HUBSPOT INC;Information Technology
DSY;DASSAULT SYSTEMES;Information Technology
CHD;CHURCH AND DWIGHT INC;Consumer Staples
TTWO;TAKE TWO INTERACTIVE SOFTWARE INC;Communication
8053;SUMITOMO CORP;Industrials
6954;FANUC CORP;Industrials
KER;KERING SA;Consumer Discretionary
WPM;WHEATON PRECIOUS METALS CORP;Materials
GPN;GLOBAL PAYMENTS INC;Financials
DECK;DECKERS OUTDOOR CORP;Consumer Discretionary
VOW3;VOLKSWAGEN NON-VOTING PREF AG;Consumer Discretionary
6301;KOMATSU LTD;Industrials
G;ASSICURAZIONI GENERALI;Financials
NVR;NVR INC;Consumer Discretionary
CHTR;CHARTER COMMUNICATIONS INC CLASS A;Communication
WTW;WILLIS TOWERS WATSON PLC;Financials
MTB;M&T BANK CORP;Financials
FSLR;FIRST SOLAR INC;Information Technology
6702;FUJITSU LTD;Information Technology
KEYS;KEYSIGHT TECHNOLOGIES INC;Information Technology
FITB;FIFTH THIRD BANCORP;Financials
AVB;AVALONBAY COMMUNITIES REIT INC;Real Estate
CAH;CARDINAL HEALTH INC;Health Care
ARES;ARES MANAGEMENT CORP CLASS A;Financials
EQNR;EQUINOR;Energy
4901;FUJIFILM HOLDINGS CORP;Information Technology
HPE;HEWLETT PACKARD ENTERPRISE;Information Technology
FNV;FRANCO NEVADA CORP;Materials
ML;MICHELIN;Consumer Discretionary
TEAM;ATLASSIAN CORP CLASS A;Information Technology
RHM;RHEINMETALL AG;Industrials
8801;MITSUI FUDOSAN LTD;Real Estate
UMG;UNIVERSAL MUSIC GROUP NV;Communication
WEC;WEC ENERGY GROUP INC;Utilities
5108;BRIDGESTONE CORP;Consumer Discretionary
AWK;AMERICAN WATER WORKS INC;Utilities
WST;WEST PHARMACEUTICAL SERVICES INC;Health Care
WOW;WOOLWORTHS GROUP LTD;Consumer Staples
HEXA B;HEXAGON CLASS B;Information Technology
WDC;WESTERN DIGITAL CORP;Information Technology
PHM;PULTEGROUP INC;Consumer Discretionary
LYB;LYONDELLBASELL INDUSTRIES NV CLASS;Materials
PRU;PRUDENTIAL PLC;Financials
PINS;PINTEREST INC CLASS A;Communication
TROW;T ROWE PRICE GROUP INC;Financials
GRMN;GARMIN LTD;Consumer Discretionary
DOL;DOLLARAMA INC;Consumer Discretionary
8750;DAI-ICHI LIFE HOLDINGS INC;Financials
SSE;SSE PLC;Utilities
SAND;SANDVIK;Industrials
8591;ORIX CORP;Financials
DTG;DAIMLER TRUCK HOLDING E AG;Industrials
DLTR;DOLLAR TREE INC;Consumer Staples
GIB.A;CGI INC;Information Technology
TER;TERADYNE INC;Information Technology
RJF;RAYMOND JAMES INC;Financials
TRGP;TARGA RESOURCES CORP;Energy
FFH;FAIRFAX FINANCIAL HOLDINGS SUB VOT;Financials
ZBH;ZIMMER BIOMET HOLDINGS INC;Health Care
STT;STATE STREET CORP;Financials
MDB;MONGODB INC CLASS A;Information Technology
CCO;CAMECO CORP;Energy
NRG;NRG ENERGY INC;Utilities
VLTO;VERALTO CORP;Industrials
EQR;EQUITY RESIDENTIAL REIT;Real Estate
RWE;RWE AG;Utilities
APTV;APTIV PLC;Consumer Discretionary
VNA;VONOVIA SE;Real Estate
TECK.B;TECK RESOURCES SUBORDINATE VOTING;Materials
MRK;MERCK;Health Care
CABK;CAIXABANK SA;Financials
VIE;VEOLIA ENVIRON. SA;Utilities
BLDR;BUILDERS FIRSTSOURCE INC;Industrials
IFF;INTERNATIONAL FLAVORS & FRAGRANCES;Materials
BZFUT;CASH COLLATERAL USD BZFUT;Cash and/or Derivatives
STAN;STANDARD CHARTERED PLC;Financials
6594;NIDEC CORP;Industrials
ETR;ENTERGY CORP;Utilities
STE;STERIS;Health Care
IRM;IRON MOUNTAIN INC;Real Estate
NWG;NATWEST GROUP PLC;Financials
NTAP;NETAPP INC;Information Technology
4543;TERUMO CORP;Health Care
CHF;CHF CASH;Cash and/or Derivatives
BR;BROADRIDGE FINANCIAL SOLUTIONS INC;Industrials
SEB A;SKANDINAVISKA ENSKILDA BANKEN;Financials
FER;FERROVIAL;Industrials
UPM;UPM-KYMMENE;Materials
BAH;BOOZ ALLEN HAMILTON HOLDING CORP C;Industrials
PHIA;KONINKLIJKE PHILIPS NV;Health Care
MKL;MARKEL GROUP INC;Financials
ARGX;ARGENX;Health Care
DTE;DTE ENERGY;Utilities
LPLA;LPL FINANCIAL HOLDINGS INC;Financials
IMB;IMPERIAL BRANDS PLC;Consumer Staples
TEF;TELEFONICA SA;Communication
6178;JAPAN POST HOLDINGS LTD;Financials
WY;WEYERHAEUSER REIT;Real Estate
HUBB;HUBBELL INC;Industrials
CSL;CARLISLE COMPANIES INC;Industrials
NOKIA;NOKIA;Information Technology
TYL;TYLER TECHNOLOGIES INC;Information Technology
ES;EVERSOURCE ENERGY;Utilities
EVO;EVOLUTION;Consumer Discretionary
